,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.690055962117951},{0: 0.7450424929178471},{0: 0.7503566333808844},{0: 0.739803094233474},{0: 0.611542730299667},{0: 0.6756729122665706},{0: 0.8247182624296501},"{0: array([[ 551,  350],
       [ 370, 1052]])}"
1,{0: 0.690055962117951},{0: 0.7450424929178471},{0: 0.7503566333808844},{0: 0.739803094233474},{0: 0.611542730299667},{0: 0.6756729122665706},{0: 0.8247182624296501},"{0: array([[ 551,  350],
       [ 370, 1052]])}"
