,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6517434352130865},{0: 0.7054969057153258},{0: 0.7313207547169811},{0: 0.6814345991561181},{0: 0.6048834628190899},{0: 0.643159030987604},{0: 0.8038809055202776},"{0: array([[545, 356],
       [453, 969]])}"
1,{0: 0.6517434352130865},{0: 0.7054969057153258},{0: 0.7313207547169811},{0: 0.6814345991561181},{0: 0.6048834628190899},{0: 0.643159030987604},{0: 0.8038809055202776},"{0: array([[545, 356],
       [453, 969]])}"
