,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6491605682307361},{0: 0.7371815543373105},{0: 0.680762358546754},{0: 0.8037974683544303},{0: 0.4051054384017758},{0: 0.6044514533781031},{0: 0.8023315707902393},"{0: array([[ 365,  536],
       [ 279, 1143]])}"
1,{0: 0.6491605682307361},{0: 0.7371815543373105},{0: 0.680762358546754},{0: 0.8037974683544303},{0: 0.4051054384017758},{0: 0.6044514533781031},{0: 0.8023315707902393},"{0: array([[ 365,  536],
       [ 279, 1143]])}"
