,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.5195867412828239},{0: 0.504},{0: 0.6847826086956522},{0: 0.3987341772151899},{0: 0.7103218645948945},{0: 0.5545280209050422},{0: 0.7257876654478878},"{0: array([[640, 261],
       [855, 567]])}"
1,{0: 0.5195867412828239},{0: 0.504},{0: 0.6847826086956522},{0: 0.3987341772151899},{0: 0.7103218645948945},{0: 0.5545280209050422},{0: 0.7257876654478878},"{0: array([[640, 261],
       [855, 567]])}"
