epochs,batch_size,learning_rate,betas,epsilon,weight_decay,loss_fn,accuracy,f1,precision,recall,confusion_matrix,train_time_secs,eval_time_secs
1,1,1e-05,"(0.9, 0.999)",1e-08,0.1,CrossEntropyLoss(),0.929676511954993,0.923076923076923,0.9646302250803859,0.8849557522123894,"[[361  11]
 [ 39 300]]",575,27
1,2,1e-05,"(0.9, 0.999)",1e-08,0.1,CrossEntropyLoss(),0.9437412095639943,0.940652818991098,0.9462686567164179,0.9351032448377581,"[[354  18]
 [ 22 317]]",400,23
1,4,1e-05,"(0.9, 0.999)",1e-08,0.1,CrossEntropyLoss(),0.919831223628692,0.9184549356223176,0.8916666666666667,0.9469026548672567,"[[333  39]
 [ 18 321]]",310,22
1,8,1e-05,"(0.9, 0.999)",1e-08,0.1,CrossEntropyLoss(),0.9254571026722925,0.9212481426448736,0.9281437125748503,0.9144542772861357,"[[348  24]
 [ 29 310]]",261,21
