,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.5320705983641842},{0: 0.5399915361828185},{0: 0.6780021253985122},{0: 0.44866385372714485},{0: 0.6637069922308546},{0: 0.5561854229789998},{0: 0.7320802990763886},"{0: array([[598, 303],
       [784, 638]])}"
1,{0: 0.5320705983641842},{0: 0.5399915361828185},{0: 0.6780021253985122},{0: 0.44866385372714485},{0: 0.6637069922308546},{0: 0.5561854229789998},{0: 0.7320802990763886},"{0: array([[598, 303],
       [784, 638]])}"
