,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6775721050365906},{0: 0.7376532399299474},{0: 0.7348220516399162},{0: 0.740506329113924},{0: 0.5782463928967814},{0: 0.6593763610053527},{0: 0.8170873500841953},"{0: array([[ 521,  380],
       [ 369, 1053]])}"
1,{0: 0.6775721050365906},{0: 0.7376532399299474},{0: 0.7348220516399162},{0: 0.740506329113924},{0: 0.5782463928967814},{0: 0.6593763610053527},{0: 0.8170873500841953},"{0: array([[ 521,  380],
       [ 369, 1053]])}"
