,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.5350839431769264},{0: 0.5427603725656223},{0: 0.6819148936170213},{0: 0.4507735583684951},{0: 0.6681465038845728},{0: 0.5594600311265339},{0: 0.7344458187607306},"{0: array([[602, 299],
       [781, 641]])}"
1,{0: 0.5350839431769264},{0: 0.5427603725656223},{0: 0.6819148936170213},{0: 0.4507735583684951},{0: 0.6681465038845728},{0: 0.5594600311265339},{0: 0.7344458187607306},"{0: array([[602, 299],
       [781, 641]])}"
