,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6676711149375807},{0: 0.726822363765039},{0: 0.7314814814814815},{0: 0.7222222222222222},{0: 0.58157602663707},{0: 0.6518991244296461},{0: 0.8118712233542194},"{0: array([[ 524,  377],
       [ 395, 1027]])}"
1,{0: 0.6676711149375807},{0: 0.726822363765039},{0: 0.7314814814814815},{0: 0.7222222222222222},{0: 0.58157602663707},{0: 0.6518991244296461},{0: 0.8118712233542194},"{0: array([[ 524,  377],
       [ 395, 1027]])}"
