,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6151528196297891},{0: 0.7592891760904685},{0: 0.6151832460732984},{0: 0.9915611814345991},{0: 0.021087680355160933},{0: 0.5063244308948801},{0: 0.8059550807362992},"{0: array([[  19,  882],
       [  12, 1410]])}"
1,{0: 0.6151528196297891},{0: 0.7592891760904685},{0: 0.6151832460732984},{0: 0.9915611814345991},{0: 0.021087680355160933},{0: 0.5063244308948801},{0: 0.8059550807362992},"{0: array([[  19,  882],
       [  12, 1410]])}"
