,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6422729229444684},{0: 0.744700460829493},{0: 0.6612111292962357},{0: 0.8523206751054853},{0: 0.31076581576026635},{0: 0.5815432454328758},{0: 0.8019660743919926},"{0: array([[ 280,  621],
       [ 210, 1212]])}"
1,{0: 0.6422729229444684},{0: 0.744700460829493},{0: 0.6612111292962357},{0: 0.8523206751054853},{0: 0.31076581576026635},{0: 0.5815432454328758},{0: 0.8019660743919926},"{0: array([[ 280,  621],
       [ 210, 1212]])}"
