,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6500215238915196},{0: 0.7128223242670436},{0: 0.71611071682044},{0: 0.709563994374121},{0: 0.5560488346281909},{0: 0.6328064145011559},{0: 0.8017310275731737},"{0: array([[ 501,  400],
       [ 413, 1009]])}"
1,{0: 0.6500215238915196},{0: 0.7128223242670436},{0: 0.71611071682044},{0: 0.709563994374121},{0: 0.5560488346281909},{0: 0.6328064145011559},{0: 0.8017310275731737},"{0: array([[ 501,  400],
       [ 413, 1009]])}"
