,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6194575979337064},{0: 0.7549889135254989},{0: 0.6230558096980787},{0: 0.9578059071729957},{0: 0.08546059933407325},{0: 0.5216332532535345},{0: 0.8033451933472893},"{0: array([[  77,  824],
       [  60, 1362]])}"
1,{0: 0.6194575979337064},{0: 0.7549889135254989},{0: 0.6230558096980787},{0: 0.9578059071729957},{0: 0.08546059933407325},{0: 0.5216332532535345},{0: 0.8033451933472893},"{0: array([[  77,  824],
       [  60, 1362]])}"
