,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6164442531209643},{0: 0.7551525144270403},{0: 0.6197564276048715},{0: 0.9662447257383966},{0: 0.06437291897891231},{0: 0.5153088223586544},{0: 0.8033320446010357},"{0: array([[  58,  843],
       [  48, 1374]])}"
1,{0: 0.6164442531209643},{0: 0.7551525144270403},{0: 0.6197564276048715},{0: 0.9662447257383966},{0: 0.06437291897891231},{0: 0.5153088223586544},{0: 0.8033320446010357},"{0: array([[  58,  843],
       [  48, 1374]])}"
