,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6642272922944469},{0: 0.7482246610716591},{0: 0.6915274463007159},{0: 0.8150492264416315},{0: 0.4261931187569367},{0: 0.6206211725992841},{0: 0.8098961710676867},"{0: array([[ 384,  517],
       [ 263, 1159]])}"
1,{0: 0.6642272922944469},{0: 0.7482246610716591},{0: 0.6915274463007159},{0: 0.8150492264416315},{0: 0.4261931187569367},{0: 0.6206211725992841},{0: 0.8098961710676867},"{0: array([[ 384,  517],
       [ 263, 1159]])}"
