,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.5174343521308653},{0: 0.49663224068253264},{0: 0.6869565217391305},{0: 0.3888888888888889},{0: 0.7203107658157603},{0: 0.5545998273523245},{0: 0.7249653226192185},"{0: array([[649, 252],
       [869, 553]])}"
1,{0: 0.5174343521308653},{0: 0.49663224068253264},{0: 0.6869565217391305},{0: 0.3888888888888889},{0: 0.7203107658157603},{0: 0.5545998273523245},{0: 0.7249653226192185},"{0: array([[649, 252],
       [869, 553]])}"
