,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix
0,{0: 0.6444253120964271},{0: 0.70935960591133},{0: 0.7098591549295775},{0: 0.7088607594936709},{0: 0.5427302996670367},{0: 0.6257955295803538},{0: 0.7984688681027132},"{0: array([[ 489,  412],
       [ 414, 1008]])}"
1,{0: 0.6444253120964271},{0: 0.70935960591133},{0: 0.7098591549295775},{0: 0.7088607594936709},{0: 0.5427302996670367},{0: 0.6257955295803538},{0: 0.7984688681027132},"{0: array([[ 489,  412],
       [ 414, 1008]])}"
